"Team","HomeWins","HomeLosses","HomeWinningPct","AwayWins","AwayLosses","AwayWinningPct","TotalWinningPct","HomeSplit","RelativeDiff"
"CHN",82,80,0.506172839506173,75,87,0.462962962962963,0.484567901234568,0.021604938271605,0.0445859872611466
"CIN",71,91,0.438271604938272,73,89,0.450617283950617,0.444444444444444,-0.00617283950617281,-0.0138888888888888
"LAN",110,52,0.679012345679012,101,61,0.623456790123457,0.651234567901235,0.0277777777777778,0.042654028436019
"MIA",80,82,0.493827160493827,73,89,0.450617283950617,0.472222222222222,0.0216049382716049,0.0457516339869281
"SDN",88,74,0.54320987654321,83,79,0.512345679012346,0.527777777777778,0.0154320987654321,0.0292397660818713
"SLN",88,74,0.54320987654321,76,86,0.469135802469136,0.506172839506173,0.037037037037037,0.073170731707317
"WAS",60,102,0.37037037037037,66,96,0.407407407407407,0.388888888888889,-0.0185185185185185,-0.0476190476190477
"BOS",82,80,0.506172839506173,74,88,0.45679012345679,0.481481481481481,0.0246913580246914,0.0512820512820514
"HOU",94,68,0.580246913580247,102,60,0.62962962962963,0.604938271604938,-0.0246913580246914,-0.0408163265306122
"KCA",72,90,0.444444444444444,49,113,0.302469135802469,0.373456790123457,0.0709876543209876,0.190082644628099
"NYA",99,63,0.611111111111111,82,80,0.506172839506173,0.558641975308642,0.0524691358024691,0.0939226519337017
"OAK",55,106,0.341614906832298,55,108,0.337423312883436,0.339506172839506,0.00210873399279193,0.00621118012422351
"SEA",91,71,0.561728395061728,87,75,0.537037037037037,0.549382716049383,0.0123456790123457,0.0224719101123597
"TBA",104,58,0.641975308641975,81,81,0.5,0.570987654320988,0.0709876543209876,0.124324324324324
"TEX",84,78,0.518518518518518,74,88,0.45679012345679,0.487654320987654,0.0308641975308642,0.0632911392405063
"MIL",95,67,0.58641975308642,83,79,0.512345679012346,0.549382716049383,0.0370370370370371,0.0674157303370787
"CHA",68,94,0.419753086419753,74,88,0.45679012345679,0.438271604938272,-0.0185185185185185,-0.0422535211267606
"ARI",83,79,0.512345679012346,75,87,0.462962962962963,0.487654320987654,0.0246913580246914,0.0506329113924052
"ATL",107,55,0.660493827160494,98,64,0.604938271604938,0.632716049382716,0.0277777777777778,0.0439024390243903
"COL",78,84,0.481481481481481,49,113,0.302469135802469,0.391975308641975,0.0895061728395061,0.228346456692913
"DET",73,90,0.447852760736196,71,90,0.440993788819876,0.444444444444444,0.00340831629175192,0.00766871165644183
"NYN",97,65,0.598765432098765,79,83,0.487654320987654,0.54320987654321,0.0555555555555556,0.102272727272727
"PHI",96,66,0.592592592592593,81,81,0.5,0.546296296296296,0.0462962962962963,0.0847457627118644
"PIT",73,89,0.450617283950617,65,97,0.401234567901235,0.425925925925926,0.0246913580246914,0.0579710144927536
"SFN",89,73,0.549382716049383,71,91,0.438271604938272,0.493827160493827,0.0555555555555556,0.1125
"ANA",78,84,0.481481481481481,68,94,0.419753086419753,0.450617283950617,0.0308641975308642,0.0684931506849314
"BAL",94,68,0.580246913580247,90,72,0.555555555555556,0.567901234567901,0.0123456790123457,0.0217391304347827
"CLE",88,74,0.54320987654321,80,82,0.493827160493827,0.518518518518518,0.0246913580246914,0.0476190476190476
"MIN",93,69,0.574074074074074,72,90,0.444444444444444,0.509259259259259,0.0648148148148148,0.127272727272727
"TOR",90,72,0.555555555555556,91,71,0.561728395061728,0.558641975308642,-0.00308641975308643,-0.00552486187845306
