"Rank","Team","DRC+","DRC+ SD","PA"
"1","NYY","113","4","5343"
"2","STL","112","4","5353"
"3","TOR","111","4","5307"
"4","NYM","109","4","5364"
"4","HOU","109","4","5251"
"4","LAD","109","4","5408"
"7","ATL","108","4","5283"
"8","MIN","104","4","5204"
"8","SEA","104","4","5249"
"8","PHI","104","4","5211"
"11","CLE","101","3","5221"
"11","WSH","101","3","5199"
"13","MIL","100","4","5299"
"13","SD","100","4","5371"
"13","BOS","100","4","5350"
"16","TEX","99","4","5296"
"16","COL","99","4","5274"
"18","CWS","98","4","5313"
"18","SF","98","3","5295"
"20","ARI","97","4","5194"
"20","BAL","97","3","5216"
"22","CHC","96","4","5254"
"23","KC","95","3","5202"
"23","LAA","95","4","5196"
"25","TB","94","4","5201"
"26","CIN","92","3","5137"
"27","OAK","91","4","5078"
"28","MIA","90","3","5139"
"29","PIT","89","3","5115"
"30","DET","83","4","5054"
